"12","Democratic","400"
"9","Must","131"
"7","Enjoy","543"
"14","More","284"
"16","Administration","162"
"10","Thing","231"
"2","Seven","133"
"12","Quickly","264"
"8","Anything","310"
"9","Wish","277"
"10","Thing","80"
"16","Administration","416"
"11","Clearly","203"
"11","Board","17"
"18","Reveal","550"
"19","Charge","491"
"16","Possible","129"
"10","Make","277"
"16","Interest","285"
"4","Pattern","225"
"9","Wish","146"
"10","Least","3"
"8","Anything","130"
"10","Clear","496"
"8","Situation","42"
"2","Seven","326"
"3","This","178"
"18","Reveal","324"
"2","Seven","453"
"19","Charge","281"
"16","Population","193"
"12","Quickly","358"
"11","Board","278"
"11","Clearly","551"
"9","Wish","289"
"16","Particular","292"
"17","Cost","401"
"6","Single","179"
"11","Clearly","116"
"0","Reveal","97"
"12","Democratic","141"
"8","Anything","471"
"1","Evening","432"
"7","Enjoy","549"
"5","Risk","181"
"1","Evening","70"
"16","Threat","451"
"8","Situation","385"
"11","Board","52"
"5","Risk","399"
"16","Particular","393"
"9","Must","128"
"4","Four","554"
"5","Situation","155"
"16","Tell","35"
"0","Reveal","454"
"9","Wish","425"
"9","Wish","479"
"10","Make","400"
"10","Clear","99"
"9","Treatment","411"
"19","Charge","518"
"5","Risk","477"
"10","Old","171"
"2","Seven","206"
"16","Population","246"
"10","Least","387"
"16","Particular","71"
"0","Reveal","217"
"9","Wish","203"
"10","Make","503"
"16","Population","196"
"10","Thing","525"
"16","Particular","199"
"7","Over","532"
"16","Interest","441"
"5","Situation","404"
"19","Charge","268"
"7","Over","482"
"11","Board","29"
"9","Must","353"
"3","Property","210"
"7","Enjoy","35"
"9","Wish","451"
"19","Charge","530"
"4","Pattern","217"
"13","Way","146"
"4","Mr","464"
"16","Interest","93"
"5","Situation","282"
"7","From","296"
"5","Risk","336"
"18","Reveal","304"
"16","Paper","90"
"12","Quickly","127"
"16","Paper","379"
"2","Seven","90"
"10","Least","139"
"1","Season","245"
"14","More","496"
"0","Reveal","147"
"5","Risk","379"
"9","Treatment","149"
"16","Threat","520"
"19","Charge","327"
"7","Act","77"
"7","Enjoy","196"
"0","Reveal","302"
"5","Situation","434"
"7","From","387"
"8","Anything","36"
"17","Cost","451"
"7","Over","294"
"0","Reveal","158"
"16","Interest","192"
"11","Board","501"
"11","Clearly","159"
"4","Four","152"
"1","Evening","439"
"9","Treatment","216"
"10","Thing","161"
"10","Clear","452"
"16","Administration","433"
"16","Tell","39"
"4","Four","481"
"19","Charge","87"
"5","Situation","375"
"16","Population","100"
"13","Way","506"
"10","Old","532"
"12","Democratic","30"
"3","This","88"
"5","Risk","266"
"3","Property","263"
"5","Might","385"
"7","Over","243"
"19","Charge","124"
"5","Might","530"
"5","Situation","508"
"4","Pattern","249"
"8","Anything","231"
"7","Over","147"
"16","Possible","158"
"17","Cost","181"
"11","Room","108"
"11","Room","97"
"4","Four","479"
"11","Clearly","264"
"10","Old","429"
"8","Anything","76"
"3","Bit","462"
"0","Whose","355"
"7","Over","260"
"6","Single","417"
"14","More","22"
"9","Wish","247"
"11","Clearly","91"
"13","Way","147"
"9","Wish","535"
"16","Threat","463"
"16","Possible","10"
"10","Least","256"
"16","Particular","531"
"12","Democratic","132"
"12","Democratic","339"
"6","Single","546"
"16","Tell","205"
"3","Operation","97"
"13","Way","276"
"9","Must","268"
"10","Make","313"
"8","Anything","376"
"1","Season","460"
"5","Situation","395"
"3","Bit","458"
"8","Situation","292"
"3","This","434"
"7","Enjoy","529"
"4","Pattern","164"
"16","Population","273"
"12","Democratic","394"
"7","Enjoy","263"
"4","Mr","496"
"8","Situation","271"
"10","Thing","413"
"11","Room","509"
"3","Property","176"
"9","Wish","15"
"1","Evening","347"
"18","Reveal","111"
"3","Realize","31"
"16","Threat","317"
"0","Whose","197"
"9","Must","420"
"5","Situation","130"
"13","Way","126"
"16","Possible","366"
"3","Operation","483"
"19","Charge","177"
"3","Realize","362"
"10","Least","446"
"11","Clearly","373"
"10","Make","108"
"3","Operation","571"
"16","Population","134"
"0","Reveal","15"
"13","Way","491"
"7","Over","402"
"10","Least","98"
"19","Charge","58"
"16","Interest","303"
"16","Tell","174"
"0","Reveal","285"
"16","Particular","127"
"4","Pattern","345"
"4","Pattern","147"
"0","Whose","95"
"3","Operation","345"
"13","Way","203"
"18","Reveal","383"
"1","Evening","472"
"5","Might","558"
"7","From","460"
"16","Population","15"
"16","Population","4"
"8","Defense","337"
"16","Tell","212"
"9","Treatment","557"
"9","Must","513"
"10","Make","308"
"10","Clear","104"
"5","Risk","295"
"13","Way","62"
"19","Charge","113"
"3","Operation","168"
"5","Might","169"
"1","Evening","476"
"3","Operation","171"
"16","Particular","27"
"1","Season","387"
"16","Population","125"
"10","Make","317"
"9","Wish","390"
"8","Defense","262"
"2","Seven","393"
"5","Situation","474"
"16","Particular","516"
"16","Administration","376"
"7","Over","435"
"11","Clearly","8"
"16","Interest","431"
"14","More","239"
"8","Situation","355"
"4","Mr","321"
"5","Risk","478"
"11","Board","259"
"9","Must","279"
"16","Administration","167"
"3","This","227"
"5","Situation","331"
"7","Act","23"
"16","Paper","485"
"19","Charge","293"
"1","Season","253"
"3","This","104"
"16","Administration","529"
"6","Single","202"
"16","Particular","339"
"10","Old","136"
"10","Least","503"
"3","Operation","478"
"4","Pattern","376"
"4","Four","202"
"17","Cost","208"
"10","Thing","502"
"8","Defense","89"
"3","Property","531"
"7","From","567"
"9","Wish","285"
"3","Realize","80"
"10","Clear","23"
"12","Democratic","488"
"5","Risk","350"
"7","Enjoy","2"
"16","Possible","302"
"3","Operation","428"
"3","Property","526"
"17","Cost","290"
"10","Make","39"
"6","Single","354"
"6","Single","422"
"14","More","237"
"7","From","496"
"4","Pattern","567"
"7","Over","445"
"19","Charge","295"
"8","Anything","496"
"19","Charge","408"
"7","From","441"
